Year,0
1990,951.725
1991,912.7833333333333
1992,891.2666666666668
1993,880.0749999999999
1994,881.7499999999999
1995,882.0333333333332
1996,868.2083333333331
1997,871.9499999999999
1998,874.8583333333332
1999,865.3166666666667
2000,865.1083333333335
2001,822.8416666666667
2002,760.6500000000001
2003,713.0583333333333
2004,691.4166666666666
2005,680.1416666666667
2006,671.1416666666665
2007,659.9333333333333
2008,644.4333333333333
2009,574.725
2010,560.975
2011,566.3000000000001
2012,568.4833333333332
2013,565.9833333333332
2014,568.8416666666666
2015,569.2833333333332
2016,561.3083333333333
2017,563.45
2018,571.4166666666666
2019,575.3583333333332
2020,537.8083333333333
