Year,0
1990,509.1416666666666
1991,478.82500000000005
1992,473.01666666666665
1993,478.39166666666665
1994,474.4833333333334
1995,480.0916666666667
1996,485.94166666666666
1997,486.34999999999997
1998,482.30833333333334
1999,478.44166666666666
2000,478.1333333333334
2001,455.25000000000006
2002,428.5
2003,410.0833333333333
2004,410.86666666666673
2005,415.99999999999994
2006,417.04999999999995
2007,399.74166666666673
2008,371.89166666666665
2009,324.55833333333334
2010,310.01666666666665
2011,313.5083333333333
2012,319.15833333333336
2013,324.55
2014,334.175
2015,345.61666666666673
2016,357.9333333333332
2017,365.9916666666666
2018,375.31666666666666
2019,387.1666666666667
2020,378.5916666666667
