Year,0
1990,824.7916666666669
1991,792.5416666666665
1992,803.2666666666668
1993,820.5250000000001
1994,824.9833333333332
1995,828.9166666666666
1996,809.8250000000002
1997,800.15
1998,796.5416666666666
1999,777.0083333333332
2000,758.6749999999998
2001,704.5583333333333
2002,643.9
2003,599.4666666666666
2004,577.3666666666667
2005,564.5833333333334
2006,553.2416666666668
2007,538.6333333333333
2008,516.05
2009,447.9166666666666
2010,432.56666666666666
2011,434.1916666666666
2012,440.54999999999995
2013,443.4083333333333
2014,449.5416666666667
2015,461.7833333333333
2016,465.3333333333334
2017,468.38333333333327
2018,475.0666666666666
2019,477.7
2020,453.2583333333334
