Year,0
1990,1059.7749999999999
1991,1018.6083333333335
1992,993.3583333333332
1993,981.15
1994,1004.2916666666669
1995,1037.8500000000001
1996,1030.2250000000001
1997,1027.75
1998,1030.375
1999,1028.925
2000,1022.3249999999999
2001,953.875
2002,885.7666666666664
2003,843.7999999999998
2004,823.4583333333334
2005,813.0333333333332
2006,797.5583333333334
2007,771.975
2008,739.5166666666668
2009,629.9166666666666
2010,621.6416666666668
2011,639.8083333333333
2012,657.0666666666667
2013,663.6583333333334
2014,675.6166666666666
2015,687.5333333333333
2016,686.5166666666665
2017,687.3916666666668
2018,698.85
2019,700.7666666666665
2020,653.0666666666666
